"ko","en","ja","zh-Hans","de","es","kind","note"
"수정 동굴","Crystal Cave","水晶洞","水晶洞","Kristallhöhle","Cueva de cristal","cave",""
"독기 굴","Miasma Cave","瘴気の洞","瘴气洞","Miasmenhöhle","Cueva de miasma","cave",""
"폭포","Waterfall","滝","瀑布","Wasserfall","Cascada","concept",""
"샘 바위","Spring Rock","湧き岩","泉石","Quellfels","Roca manantial","tile",""
"귀환 비석","Waystone","帰還の碑","归还石碑","Wegstein","Piedra de retorno","concept","빠른 이동"
"여관","Inn","宿屋","旅店","Gasthaus","Posada","place",""
"보관고","Vault","保管庫","储藏库","Lager","Almacén","place",""
"의뢰 게시판","Bounty Board","依頼掲示板","委托公告板","Auftragsbrett","Tablón de encargos","place",""
"마을 회관","Town Hall","村役場","村公所","Rathaus","Ayuntamiento","place",""
"재련대","Reforging Station","再錬台","重炼台","Umschmiedetisch","Mesa de reforja","station",""
"강화 모루","Enhancement Anvil","強化の金床","强化铁砧","Verstärkungsamboss","Yunque de mejora","station",""
"작업대","Workbench","作業台","工作台","Werkbank","Banco de trabajo","station",""
"화로","Forge","炉","熔炉","Schmiede","Fragua","station",""
"금화","Gold","金貨","金币","Gold","Oro","currency","단위는 🪙"
"경험치","XP","経験値","经验值","EP","EXP","stat",""
"힘","STR","力","力量","STÄ","FUE","stat","능력치 약자 — 표에서는 짧게"
"민첩","DEX","敏捷","敏捷","GES","DES","stat",""
"지능","INT","知力","智力","INT","INT","stat",""
"체력","VIT","体力","体质","VIT","VIT","stat","능력치 '체력'. 생명력(HP)과 다르다"
"생명력","HP","HP","生命","LP","PV","stat","HP 막대"
"마나","Mana","マナ","法力","Mana","Maná","stat",""
"특성","Talents","特性","天赋","Talente","Talentos","concept","특성 트리"
"숙련","Mastery","熟練","熟练","Meisterschaft","Maestría","concept","농사·낚시 숙련"
"검투사","Gladiator","剣闘士","角斗士","Gladiator","Gladiador","branch","특성 갈래"
"유격","Skirmisher","遊撃","游击","Plänkler","Hostigador","branch","특성 갈래"
"비전","Arcane","秘術","秘法","Arkan","Arcano","branch","특성 갈래"
"떠돌이","Wanderer","放浪者","流浪者","Wanderer","Errante","character",""
"굴 파는 이","Digger","穴掘り","掘洞者","Gräber","Excavador","character",""
"사냥꾼","Hunter","狩人","猎人","Jäger","Cazador","character",""
"수련생","Adept","修練生","修习者","Adept","Adepto","character",""
"빈손","Empty-Handed","手ぶら","空手者","Mit leeren Händen","Manos vacías","character","장비 없이 시작"
"일반","Normal","ノーマル","普通","Normal","Normal","mode",""
"하드","Hard","ハード","困难","Schwer","Difícil","mode",""
"불가능","Impossible","インポッシブル","不可能","Unmöglich","Imposible","mode","죽으면 슬롯이 지워진다"
"소형","Small","小","小型","Klein","Pequeño","size","세계 크기"
"중형","Medium","中","中型","Mittel","Mediano","size",""
"대형","Large","大","大型","Groß","Grande","size",""
"세션","Act","幕","幕","Akt","Acto","concept","세션 1~3 — 장(chapter)을 묶는 큰 단위. 게임 용어로 읽히게 막(Act)으로 옮긴다 — 검수 때 확인"
"장","Chapter","章","章","Kapitel","Capítulo","concept",""
"잿빛의 여정","The Ashen Journey","灰の旅路","灰烬之旅","Die aschene Reise","El viaje de ceniza","session","세션 1"
"벽 너머","Beyond the Wall","壁の向こう","墙的彼端","Jenseits der Mauer","Más allá del muro","session","세션 2 · 14장"
"물이 지운 쪽","Where the Water Erased","水が消した側","被水抹去之处","Wo das Wasser tilgte","Donde el agua borró","session","세션 3 · 15장"
"엘라라","Elara","エララ","埃拉拉","Elara","Elara","npc","캠프 관리인"
"보린","Borin","ボリン","博林","Borin","Borin","npc","대장장이"
"미라","Mira","ミラ","米拉","Mira","Mira","npc","마녀"
"리카","Rika","リカ","莉卡","Rika","Rika","npc","조련사"
"가른","Garn","ガルン","加恩","Garn","Garn","npc","훈련소 교관"
"하란","Haran","ハラン","哈兰","Haran","Harán","npc","여관 주인"
"세이라","Seira","セイラ","塞拉","Seira","Seira","npc","재련사"
"케이드","Kade","ケイド","凯德","Kade","Kade","npc","기술자"
"허윤","Heo Yun","ホ・ユン","许允","Heo Yun","Heo Yun","npc","잡화상"
"윤슬","Yunseul","ユンスル","尹瑟","Yunseul","Yunseul","npc","가라앉은 도시의 마지막 사람 — '윤슬'은 물비늘(수면의 반짝임)"
"도경","Dogyeong","ドギョン","道京","Dogyeong","Dogyeong","npc","재료상"
"벽산","Byeoksan","ビョクサン","碧山","Byeoksan","Byeoksan","npc","장비상"
"이름 없는 노인","The Nameless Elder","名もなき老人","无名老人","Der namenlose Alte","El anciano sin nombre","npc",""
"이름 없는 모험가","Nameless Adventurer","名もなき冒険者","无名冒险者","Namenloser Abenteurer","Aventurero sin nombre","ui","이름을 비워 두었을 때"
"슬라임 왕","Slime King","スライムキング","史莱姆之王","Schleimkönig","Rey Limo","boss",""
"재의 골렘","Ash Golem","灰のゴーレム","灰烬魔像","Aschegolem","Gólem de ceniza","boss",""
"덩굴 군주","Vine Lord","蔓の君主","藤蔓领主","Rankenfürst","Señor de las Enredaderas","boss",""
"모래 파수꾼","Sand Warden","砂の番人","沙之守望者","Sandwächter","Guardián de Arena","boss",""
"포자 여왕","Spore Queen","胞子の女王","孢子女王","Sporenkönigin","Reina de las Esporas","boss",""
"뼈의 군주","Bone Lord","骨の君主","骸骨领主","Knochenfürst","Señor de los Huesos","boss",""
"공허의 왕","Void King","虚無の王","虚空之王","Leerenkönig","Rey del Vacío","boss",""
"유적 수호병","Ruin Guard","遺跡の守護兵","遗迹守卫","Ruinenwächter","Guardia de las ruinas","enemy",""
"잿불 새끼용","Ember Drakeling","熾火の仔竜","余烬幼龙","Glutdrachenjunges","Dragoncito de ascuas","pet",""
"드래곤 알","Dragon Egg","ドラゴンの卵","龙蛋","Drachenei","Huevo de dragón","item","v1.1.1 뒤 추가 예정(윤슬) — 미리 정해 둔다"
